Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;205;18;55	F4	ech	c-fos		19.59	19.62	0.10	Unchecked	Unknown	Unknown	Target	Unknown	F4	1.682E-2	5.456E-3	-	-	-	-	SYBR Green I	 	None	0.29	1.49			49
255;205;18;55	F5	ech	c-fos		19.53	19.62	0.10	Unchecked	Unknown	Unknown	Target	Unknown	F4	1.754E-2	5.688E-3	-	-	-	-	SYBR Green I	 	None	0.30	1.54			50
255;205;18;55	F6	ech	c-fos		19.73	19.62	0.10	Unchecked	Unknown	Unknown	Target	Unknown	F4	1.527E-2	4.951E-3	-	-	-	-	SYBR Green I	 	None	0.30	1.56			51
255;205;18;55	F7	ech	nfatc1		16.09	16.07	0.03	Unchecked	Unknown	Unknown	Target	Unknown	F7	1.903E-1	6.173E-2	-	-	-	-	SYBR Green I	 	None	0.33	1.73			52
255;205;18;55	F8	ech	nfatc1		16.07	16.07	0.03	Unchecked	Unknown	Unknown	Target	Unknown	F7	1.930E-1	6.259E-2	-	-	-	-	SYBR Green I	 	None	0.32	1.66			53
255;205;18;55	F9	ech	nfatc1		16.04	16.07	0.03	Unchecked	Unknown	Unknown	Target	Unknown	F7	1.971E-1	6.390E-2	-	-	-	-	SYBR Green I	 	None	0.33	1.73			54
255;95;103;174	G1	ech	gapdh		13.75	13.70	0.47	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.27	1.29			55
255;95;103;174	G2	ech	gapdh		13.92	13.70	0.47	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.27	1.32			56
255;95;103;174	G3	ech	gapdh		14.17	13.70	0.47	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.26	1.32			57
255;95;103;174	G4	ech	oscar		20.02	20.19	0.25	Unchecked	Unknown	Unknown	Target	Unknown	G4	1.249E-2	4.050E-3	-	-	-	-	SYBR Green I	 	None	0.31	1.61			58
255;95;103;174	G5	ech	oscar		20.07	20.19	0.25	Unchecked	Unknown	Unknown	Target	Unknown	G4	1.206E-2	3.912E-3	-	-	-	-	SYBR Green I	 	None	0.32	1.63			59
255;95;103;174	G6	ech	oscar		20.47	20.19	0.25	Unchecked	Unknown	Unknown	Target	Unknown	G4	9.142E-3	2.965E-3	-	-	-	-	SYBR Green I	 	None	0.31	1.60			60
255;180;73;149	H1	jl-ech	gapdh		14.01	13.68	0.73	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.28	1.37			61
255;180;73;149	H2	jl-ech	gapdh		14.06	13.68	0.73	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.27	1.44			62
255;180;73;149	H3	jl-ech	gapdh		14.33	13.68	0.73	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.29	1.40			63
255;180;73;149	H4	jl-ech	oscar		20.47	20.44	0.04	Unchecked	Unknown	Unknown	Target	Unknown	H4	9.005E-3	4.545E-3	-	-	-	-	SYBR Green I	 	None	0.34	1.71			64
255;180;73;149	H5	jl-ech	oscar		20.40	20.44	0.04	Unchecked	Unknown	Unknown	Target	Unknown	H4	9.453E-3	4.771E-3	-	-	-	-	SYBR Green I	 	None	0.34	1.69			65
255;180;73;149	H6	jl-ech	oscar		20.45	20.44	0.04	Unchecked	Unknown	Unknown	Target	Unknown	H4	9.131E-3	4.609E-3	-	-	-	-	SYBR Green I	 	None	0.34	1.70			66
