Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;205;18;55	F5	ech	col-1		19.71	19.73	0.11	Unchecked	Unknown	Unknown	Target	Unknown	F4	1.639E-2	4.280E-3	-	-	-	-	SYBR Green I	 	None	0.35	1.72			50
255;205;18;55	F6	ech	col-1		19.84	19.73	0.11	Unchecked	Unknown	Unknown	Target	Unknown	F4	1.498E-2	3.911E-3	-	-	-	-	SYBR Green I	 	None	0.35	1.74			51
255;205;18;55	F7	ech	ocn		14.99	14.94	0.06	Unchecked	Unknown	Unknown	Target	Unknown	F7	4.320E-1	1.128E-1	-	-	-	-	SYBR Green I	 	None	0.33	1.70			52
255;205;18;55	F8	ech	ocn		14.87	14.94	0.06	Unchecked	Unknown	Unknown	Target	Unknown	F7	4.694E-1	1.226E-1	-	-	-	-	SYBR Green I	 	None	0.35	1.80			53
255;205;18;55	F9	ech	ocn		14.97	14.94	0.06	Unchecked	Unknown	Unknown	Target	Unknown	F7	4.380E-1	1.144E-1	-	-	-	-	SYBR Green I	 	None	0.34	1.74			54
255;95;103;174	G1	jl-ech	gapdh		14.41	13.97	0.45	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.26	1.30			55
255;95;103;174	G2	jl-ech	gapdh		14.38	13.97	0.45	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.29	1.45			56
255;95;103;174	G3	jl-ech	gapdh		14.59	13.97	0.45	Unchecked	Unknown	Unknown	Reference	Unknown	B1	-	-	-	-	-	-	SYBR Green I	 	None	0.29	1.43			57
255;95;103;174	G4	jl-ech	rankl		20.24	20.26	0.08	Unchecked	Unknown	Unknown	Target	Unknown	G4	1.300E-2	4.016E-3	-	-	-	-	SYBR Green I	 	None	0.33	1.64			58
255;95;103;174	G5	jl-ech	rankl		20.19	20.26	0.08	Unchecked	Unknown	Unknown	Target	Unknown	G4	1.345E-2	4.157E-3	-	-	-	-	SYBR Green I	 	None	0.37	1.81			59
255;95;103;174	G6	jl-ech	rankl		20.34	20.26	0.08	Unchecked	Unknown	Unknown	Target	Unknown	G4	1.213E-2	3.747E-3	-	-	-	-	SYBR Green I	 	None	0.35	1.71			60
255;95;103;174	G7	jl-ech	opg		15.49	15.45	0.05	Unchecked	Unknown	Unknown	Target	Unknown	G7	3.497E-1	1.081E-1	-	-	-	-	SYBR Green I	 	None	0.33	1.68			61
255;95;103;174	G8	jl-ech	opg		15.40	15.45	0.05	Unchecked	Unknown	Unknown	Target	Unknown	G7	3.722E-1	1.150E-1	-	-	-	-	SYBR Green I	 	None	0.34	1.74			62
255;95;103;174	G9	jl-ech	opg		15.47	15.45	0.05	Unchecked	Unknown	Unknown	Target	Unknown	G7	3.546E-1	1.096E-1	-	-	-	-	SYBR Green I	 	None	0.34	1.74			63
255;180;73;149	H1	ech	gapdh		13.57	13.78	0.38	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.27	1.30			64
255;180;73;149	H2	ech	gapdh		13.62	13.78	0.38	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.28	1.34			65
255;180;73;149	H3	ech	gapdh		13.80	13.78	0.38	Unchecked	Unknown	Unknown	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	0.29	1.53			66
255;180;73;149	H4	ech	rankl		19.62	19.73	0.17	Unchecked	Unknown	Unknown	Target	Unknown	H4	1.745E-2	4.555E-3	-	-	-	-	SYBR Green I	 	None	0.33	1.64			67
255;180;73;149	H5	ech	rankl		19.64	19.73	0.17	Unchecked	Unknown	Unknown	Target	Unknown	H4	1.721E-2	4.492E-3	-	-	-	-	SYBR Green I	 	None	0.34	1.64			68
255;180;73;149	H6	ech	rankl		19.93	19.73	0.17	Unchecked	Unknown	Unknown	Target	Unknown	H4	1.407E-2	3.674E-3	-	-	-	-	SYBR Green I	 	None	0.34	1.68			69
255;180;73;149	H7	ech	opg		15.27	15.25	0.10	Unchecked	Unknown	Unknown	Target	Unknown	H7	3.558E-1	9.289E-2	-	-	-	-	SYBR Green I	 	None	0.30	1.55			70
255;180;73;149	H8	ech	opg		15.14	15.25	0.10	Unchecked	Unknown	Unknown	Target	Unknown	H7	3.893E-1	1.017E-1	-	-	-	-	SYBR Green I	 	None	0.35	1.76			71
255;180;73;149	H9	ech	opg		15.34	15.25	0.10	Unchecked	Unknown	Unknown	Target	Unknown	H7	3.389E-1	8.849E-2	-	-	-	-	SYBR Green I	 	None	0.31	1.62			72
